Date,TeaPrice_USD_kg,Price_Change,anomaly_flag,anomaly_score,is_anomaly
1968-10-01,0.6770413,0.0,0,-0.44118090262785253,False
1968-11-01,0.6770413,0.0,0,-0.4510470492024284,False
1969-01-01,0.5964011,-11.91067664557538,1,-0.5927808549700497,True
1969-02-01,0.5964011,0.0,0,-0.49565101984289306,False
1969-03-01,0.5964011,0.0,0,-0.47200072027735945,False
1969-04-01,0.5964011,0.0,0,-0.4532407555950419,False
1969-05-01,0.5964011,0.0,0,-0.4451587746597805,False
1969-06-01,0.5964011,0.0,0,-0.440470730439804,False
1969-07-01,0.5964011,0.0,0,-0.436163948839833,False
1969-08-01,0.5964011,0.0,0,-0.43630366926374226,False
1969-09-01,0.5964011,0.0,0,-0.44710954164969513,False
1969-10-01,0.5964011,0.0,0,-0.45975855235224306,False
1969-11-01,0.5964011,0.0,0,-0.4706841797040611,False
1970-01-01,0.6266412,5.070429950581912,1,-0.5706993383463563,True
1970-02-01,0.6266412,0.0,0,-0.5002023725083905,False
1970-03-01,0.6266412,0.0,0,-0.4762445276641501,False
1970-04-01,0.6266412,0.0,0,-0.4639182808628062,False
1970-05-01,0.6266412,0.0,0,-0.4550419213407072,False
1970-06-01,0.6266412,0.0,0,-0.4499291393686704,False
1970-07-01,0.6266412,0.0,0,-0.445506426879412,False
1970-08-01,0.6266412,0.0,0,-0.4481492876901641,False
1970-09-01,0.6266412,0.0,0,-0.45360338441309433,False
1970-10-01,0.6266412,0.0,0,-0.45775153425142623,False
1970-11-01,0.6266412,0.0,0,-0.46744828210541706,False
1971-01-01,0.6383995,1.8764007218165624,0,-0.5547463145653244,False
1971-02-01,0.6695995,4.8872218728241545,0,-0.539590919799794,False
1971-03-01,0.7031994,5.017909959610178,0,-0.5242765667994157,False
1971-04-01,0.6455995,-8.191119048167561,0,-0.46780581759214074,False
1971-05-01,0.6551995,1.4869899992177915,0,-0.44224752182624233,False
1971-06-01,0.6359995,-2.9304051666706132,0,-0.44166518781237196,False
1971-07-01,0.6335995,-0.37735878723176297,0,-0.4308111376795994,False
1971-08-01,0.7128694,12.511042069951127,0,-0.5110340819234813,False
1971-09-01,0.7260927,1.8549400493274248,0,-0.4689334045894017,False
1971-10-01,0.7049534,-2.911377569282836,0,-0.4586362532770752,False
