Date,TeaPrice_USD_kg
1980-08-01,1.108826
1980-09-01,1.080715
1980-10-01,1.052541
1980-11-01,1.020829
1980-12-01,1.014052
1981-01-01,1.088045
1981-02-01,1.22602
1981-03-01,1.224591
1981-04-01,1.085859
1981-05-01,0.9864128
1981-06-01,0.8991826
1981-07-01,0.845695
1981-08-01,0.8233915
1981-09-01,1.031127
1981-10-01,0.737933
1981-11-01,0.8342879
1981-12-01,0.8967299
1982-01-01,0.9501384
1982-02-01,0.9857177
1982-03-01,1.02176
1982-04-01,1.054616
1982-05-01,1.06383
1982-06-01,0.9898171
1982-07-01,1.092933
1982-08-01,1.272562
1982-09-01,1.468605
1982-10-01,1.300871
1982-11-01,1.30137
1982-12-01,1.237425
1983-01-01,1.3767
1983-02-01,1.500712
1983-03-01,1.703072
1983-04-01,1.783179
1983-05-01,1.954458
1983-06-01,2.014835
1983-07-01,1.654375
1983-08-01,1.844296
1983-09-01,1.908979
1983-10-01,1.926339
1983-11-01,2.22665
1983-12-01,2.392263
1984-01-01,2.841424
1984-02-01,2.645103
1984-03-01,2.665368
1984-04-01,2.726983
1984-05-01,2.527433
1984-06-01,2.196615
1984-07-01,2.136993
1984-08-01,2.26003
1984-09-01,2.534094
1984-10-01,2.508304
1984-11-01,2.511128
1984-12-01,2.45067
1985-01-01,2.313555
1985-02-01,2.125491
1985-03-01,1.728791
1985-04-01,1.606155
1985-05-01,1.398642
1985-06-01,1.15609
1985-07-01,1.247392
1985-08-01,1.270601
1985-09-01,1.243525
1985-10-01,1.152513
1985-11-01,1.09977
1985-12-01,1.137707
1986-01-01,1.096164
1986-02-01,1.136248
1986-03-01,1.141295
1986-04-01,1.050301
1986-05-01,0.9781168
1986-06-01,0.8951004
1986-07-01,0.914082
1986-08-01,1.055938
1986-09-01,1.028959
1986-10-01,1.091428
1986-11-01,1.405932
1986-12-01,1.508766
1987-01-01,1.50154
1987-02-01,1.348832
1987-03-01,1.425492
1987-04-01,1.373472
1987-05-01,1.145697
1987-06-01,1.192028
1987-07-01,1.317017
1987-08-01,1.444868
1987-09-01,1.358648
1987-10-01,1.386792
1987-11-01,1.34024
1987-12-01,1.352861
1988-01-01,1.487373
1988-02-01,1.574425
1988-03-01,1.504356
1988-04-01,1.479805
1988-05-01,1.343664
1988-06-01,1.335542
1988-07-01,1.235329
1988-08-01,1.229864
1988-09-01,1.206661
1988-10-01,1.290978
1988-11-01,1.338671
1988-12-01,1.315231
1989-01-01,1.264194
1989-02-01,1.345096
1989-03-01,1.445718
1989-04-01,1.474706
1989-05-01,1.529357
1989-06-01,1.408907
1989-07-01,1.343868
1989-08-01,1.400408
1989-09-01,1.792773
1989-10-01,1.8325
1989-11-01,1.73075
1989-12-01,1.78325
1990-01-01,1.891
1990-02-01,2.013
1990-03-01,3.01675
1990-04-01,1.889
1990-05-01,1.79
1990-06-01,1.6005
1990-07-01,1.5945
1990-08-01,1.738076
1990-09-01,1.79421
1990-10-01,1.821184
1990-11-01,1.69526
1990-12-01,1.683902
1991-01-01,1.678834
1991-02-01,1.642343
1991-03-01,1.740283
1991-04-01,1.634483
1991-05-01,1.586256
1991-06-01,1.515269
1991-07-01,1.230142
1991-08-01,1.232421
1991-09-01,1.236162
1991-10-01,1.249466
1991-11-01,1.209253
1991-12-01,1.202926
1992-01-01,1.267087
1992-02-01,1.229947
1992-03-01,1.341158
1992-04-01,1.54378
1992-05-01,1.572503
1992-06-01,1.402295
1992-07-01,1.307172
1992-08-01,1.58783
1992-09-01,1.541156
1992-10-01,1.600387
1992-11-01,1.536286
1992-12-01,1.402072
1993-01-01,1.503645
1993-02-01,1.590484
1993-03-01,1.545754
1993-04-01,1.491452
1993-05-01,1.320317
1993-06-01,1.348695
1993-07-01,1.327859
1993-08-01,1.386884
1993-09-01,1.524164
1993-10-01,1.486562
1993-11-01,1.40598
1993-12-01,1.376271
1994-01-01,1.383476
1994-02-01,1.4139
1994-03-01,1.399083
1994-04-01,1.27765
1994-05-01,1.178077
1994-06-01,1.224481
1994-07-01,1.216221
1994-08-01,1.349189
1994-09-01,1.421099
1994-10-01,1.430328
1994-11-01,1.349938
